mtime,AL,DG,DJ,DS,FL,FR,FU,FX,GR,HV,IM,IS,KR,LM,LT,LZ,MR,MT,NS,NY,OQ,OR,OS,OZ,PS,QY,R,RU,RX,SX
2021-11-01T01:25,12432,16144,27344,29176,29104,24456,21568,24696,22144,23880,31208,36512,36376,21256,25112,30976,34824,36040,33176,33136,25880,30360,44568,54976,27112,20360,20472,25280,23608,32536
2021-11-01T01:30,8470,3976,5488,9412,8748,5858,5364,4936,6452,7454,8046,7390,8736,6902,8544,10904,12920,11898,0,7666,5628,10794,9850,9614,4640,7238,5796,5692,7518,7818
2021-11-01T01:35,7707,8448,9477,16029,13734,12063,10995,4026,8562,12981,16491,10215,13410,8970,10089,14832,15996,14262,9699,5649,9201,6786,14985,13050,15573,6495,5766,9429,11790,11739
2021-11-01T01:40,23104,15472,29824,42640,27688,43792,9784,20864,19032,24936,41144,27480,23264,15760,27032,39768,33848,38072,33992,29816,19272,36256,36984,35216,0,0,15832,18200,30920,31344
2021-11-01T01:45,1979,2174,3428,6041,3066,3625,1715,3421,2765,3350,4842,4185,3750,3060,2518,3049,4655,4376,3509,2957,3896,4762,4261,5489,3633,1606,2384,2171,3490,3144
2021-11-01T01:50,15120,14570,28450,48870,41060,45400,9660,17340,45470,32270,67010,34650,33840,25970,29230,31370,59220,47620,37260,37930,28780,34500,39710,26670,49620,32990,27540,22070,44330,47060
2021-11-01T01:55,24192,28989,26352,33471,47799,27144,20043,31518,44829,41166,26568,35505,28062,25074,35757,41742,52920,54747,27090,22779,33444,34272,48024,52686,25506,35910,15651,28314,34524,20664
2021-11-01T02:00,17402,10073,21847,39634,38325,30660,14595,22862,28070,19985,21455,26481,27398,12922,25935,34909,35623,38437,22925,31948,18879,30226,33971,43050,23891,18739,11907,22218,22960,18732
2021-11-01T02:05,4514,4098,5202,11738,10678,10362,3316,4212,6608,4772,10210,6336,6634,7850,5822,8434,8862,12162,5658,6474,5690,11304,6932,8418,8558,2774,4346,5442,6992,8950
2021-11-01T02:10,34515,24795,26271,49716,44046,38232,31275,36126,34587,26379,42471,40437,23364,30510,28917,41067,44388,56124,26280,34632,29475,41085,35730,39942,36072,23976,21573,27180,28935,42372
2021-11-01T02:15,4200,5012,4234,10916,7562,7536,4962,5016,7062,6596,10588,8062,9518,5530,4986,7928,11234,8420,4194,7626,7048,8924,9986,12734,4028,3670,3984,8320,7854,6102
2021-11-01T02:20,3856,5342,8748,10738,8528,6698,4040,8614,9040,6984,8940,8206,6232,7230,5288,7848,9360,6744,7036,6886,8754,8142,11904,7396,5472,5704,3072,7942,7118,5060
2021-11-01T02:25,23720,26152,26648,25792,31664,39760,18168,24416,30248,27896,36280,33888,38376,16448,26360,36664,36968,39320,26776,24328,32664,43376,28912,39440,27904,27592,27128,22808,23944,21344
2021-11-01T02:30,13936,0,24448,44144,32288,38128,17912,23864,23360,29520,29048,27368,35280,22872,16048,35472,43056,31608,25264,16720,35984,46824,36880,41240,26680,22656,0,34984,29616,33936
2021-11-01T02:35,17400,21448,25576,37704,32808,22760,23104,21760,31040,26568,39776,23400,35096,0,34552,42816,52096,44672,24296,23232,37528,44160,36128,43904,30112,27400,17248,19864,22984,0
2021-11-01T02:40,20223,15840,34794,36783,41589,46224,25146,28449,30447,40752,35973,31959,39582,22365,33669,38295,52173,46620,27297,25758,19035,33903,41760,40869,36549,19476,9261,29754,34425,33102
2021-11-01T02:45,27750,25170,31770,49710,44920,51320,33820,27470,33400,47660,43440,34860,43300,34480,43330,47910,54620,38170,43470,27370,38400,49050,50680,40110,39290,23890,22360,19400,30220,33520
2021-11-01T02:50,15714,13638,18108,35652,25344,29688,10596,5694,24684,16380,21222,32436,21786,17562,24996,23382,26076,30306,21192,22506,18630,30552,35472,31020,22536,12936,14358,18720,21096,22104
2021-11-01T02:55,6423,9048,12060,17076,11679,12741,8796,5856,12456,9333,9819,14928,12372,8535,9543,13380,12951,6042,11388,12342,10776,15003,14463,14076,14103,9300,7524,10023,12477,9480
2021-11-01T03:00,10698,22134,25722,33540,28140,32808,13998,19374,17256,18144,30864,27960,22524,23502,19746,27534,37278,21312,17190,0,25572,27204,22842,28254,19542,23784,13092,22158,27138,19866
2021-11-01T03:05,6933,8880,11127,16314,10413,11820,6969,12477,11748,5679,12189,8001,14430,5859,9162,15465,13977,14313,8820,8793,11718,15702,11316,17304,12840,6774,9189,9948,7962,11544
2021-11-01T03:10,20656,14760,22040,50624,28632,0,20728,19800,28488,26344,34576,24984,37056,13264,25200,25016,57520,24536,39040,20664,29696,42264,35096,34864,27984,24704,12824,30000,33640,36616
2021-11-01T03:15,2019,1895,3048,3665,4211,3586,2201,2674,3263,959,4783,5139,5471,3201,2536,4778,5064,5351,4827,3692,4305,3651,5388,5540,4006,2878,2134,2481,3127,4022
2021-11-01T03:20,22200,21320,34870,37580,42780,43040,29230,37010,40400,18610,40860,33490,27930,30170,33090,47960,60950,54710,40150,24320,45020,52410,42150,40930,42370,36280,22530,41440,35440,43780
2021-11-01T03:25,3230,2838,3258,5797,3921,4611,2242,2723,4717,3699,4342,3611,3745,2901,3181,4223,0,5314,4363,3845,4522,4981,4724,6239,3083,2664,2247,3101,3860,2763
2021-11-01T03:30,2480,2554,3314,5382,3923,5013,2381,2604,2982,3437,4210,4422,3536,3711,3824,4499,7035,5160,3285,3798,3545,5017,4765,4750,3872,2661,2678,1882,3988,3829
2021-11-01T03:35,22140,18660,22560,27804,24642,20730,11346,15180,19176,18468,31968,32922,18012,13962,20736,31368,28440,21750,17280,14892,16134,29844,36642,33012,24288,14568,9666,20088,26898,0
2021-11-01T03:40,5958,3788,4290,12210,9598,8752,5756,4720,5426,5546,9034,8838,11542,5642,6072,8210,12324,7414,6612,6606,5460,11568,8822,8216,5532,3212,2314,8198,6608,6152
2021-11-01T03:45,20790,16135,26033,52843,29687,26404,7245,18970,26481,26684,31346,27188,29281,16772,17626,33901,31794,37674,26985,26523,16702,35147,34531,24325,24206,23142,12600,14847,20454,25886
2021-11-01T03:50,30140,33270,28930,50880,42180,46350,18010,22660,38960,31650,48490,44790,44430,33940,17010,45720,49820,55270,31530,34250,34740,47350,50670,56720,34850,28970,23960,33860,36530,37980
2021-11-01T03:55,12447,15984,14634,31023,48735,39834,28836,25884,24588,39213,39960,45819,36603,27252,35586,37836,49617,51237,41454,16281,37890,0,46305,50931,27144,18711,16542,32643,32067,26289
2021-11-01T04:00,31563,13698,33300,47304,48321,34614,27045,22698,35109,27162,29736,34542,33228,41580,29349,33498,54774,55746,32580,42102,28629,42876,48861,42327,27360,23247,18162,11907,38367,36414
2021-11-01T04:05,4676,3362,7356,7136,8296,0,4060,7454,5372,5810,9682,8172,8672,6764,5484,9680,12462,8958,7448,6334,7980,5520,11990,13506,7812,6166,3934,7132,5606,5664
2021-11-01T04:10,2187,2676,2790,5149,5558,3650,2172,4294,3855,3290,4028,4035,4148,2439,3544,4351,5776,6058,4985,4643,2490,4529,0,4937,4009,2734,2425,3408,4767,3833
2021-11-01T04:15,8930,15490,22935,22995,24155,27120,10945,12675,19195,16985,19360,16845,27680,10530,17155,25645,33095,28080,12905,13345,14790,21575,20295,30570,12875,10280,8695,20285,15470,20450
2021-11-01T04:20,17670,29120,40230,48870,40240,44220,20170,21250,37620,41440,25790,41870,52340,30830,33640,49220,45100,40010,31060,49380,28370,49520,47240,59020,23380,29780,14800,19740,37630,28560
2021-11-01T04:25,18921,15141,18529,38115,24878,33166,22449,14518,25487,18249,33726,24815,31227,16926,16968,25949,40481,39662,25305,17066,27244,26845,25571,45472,34335,17325,13636,18368,26544,26880
2021-11-01T04:30,23330,27950,25740,47710,40700,41120,21340,37060,34560,32570,50300,40370,43450,26970,29570,42850,0,56990,47230,38130,24350,23620,36650,63940,24940,37500,19350,31270,31270,41590
2021-11-01T04:35,15253,13083,27349,36862,28749,29050,18711,20258,20769,29771,29008,22701,29666,24213,21567,31073,32872,24185,28224,20783,27244,26075,42091,36001,26677,20923,12866,33222,23604,28665
2021-11-01T04:40,7812,10896,12036,14577,13803,10512,5937,5832,9555,6984,10530,12261,12324,9135,9672,10506,16794,14001,13320,9921,10608,15102,15270,15102,10191,5898,6057,9024,7749,11142
2021-11-01T04:45,17292,7524,19080,31446,28662,24750,19332,14946,27888,19722,22092,31008,26814,12822,23364,36384,32538,19896,17262,20196,22056,31308,30612,20148,15204,13164,13656,23058,17784,20958
2021-11-01T04:50,2795,1481,3100,6511,4003,4463,2493,2490,2912,4438,3113,3440,5931,4079,4124,3272,5375,4702,3537,4109,3420,5072,5107,5869,2147,3439,1487,2944,4511,5662
2021-11-01T04:55,21924,21024,34569,61785,45486,38610,17694,18099,37377,29871,32373,30267,23391,28197,31122,27891,39213,41877,36171,31743,36126,37719,28062,54171,37170,30006,17640,26703,32076,31635
2021-11-01T05:00,26802,20088,30159,47133,38349,27819,13563,27567,35856,29367,36324,42975,39825,23733,21582,34362,44586,41643,44163,30429,27045,32616,38430,52695,35991,33111,19863,27378,26676,33975
2021-11-01T05:05,2006,5494,7628,8738,11292,9412,4900,5744,8112,6706,8712,6338,10490,7438,3528,10766,10524,10172,10526,7166,7168,9646,10638,11386,5968,6260,3494,7596,8332,6388
2021-11-01T05:10,2139,1864,3201,5033,4341,0,1433,2860,4000,3543,3982,4233,4754,2409,3843,4623,6995,3900,4316,3745,3398,4088,4292,5732,3448,2796,2537,2362,4983,4445
2021-11-01T05:15,24984,9824,29696,41672,37496,36576,26944,15824,29440,22552,35696,45816,41536,21256,23168,36984,47264,42008,34976,22192,19856,34968,37960,52248,22072,23304,17880,27392,36160,19832
2021-11-01T05:20,13245,8055,16330,22975,19570,21475,10580,8950,19485,14195,23545,20240,21345,15850,17635,19270,30115,22445,15385,17095,16830,24255,20535,23485,18815,14620,13890,13515,15780,22665
2021-11-01T05:25,1922,1226,2899,4577,3968,5351,0,2353,2248,3867,4872,4537,3701,3097,3239,4549,6980,4591,4565,3233,2211,2931,4080,0,3064,1864,2432,3221,4037,3069
2021-11-01T05:30,2556,2183,3345,4526,4738,3506,2520,3184,2556,2248,4477,3218,5245,3393,3662,5319,6240,5559,4632,4540,4088,5876,4545,4448,4050,1539,1386,2322,2806,3828
2021-11-01T05:35,12546,16344,22314,32214,26958,23442,23172,23982,20790,22782,30336,20688,25050,16764,18600,24216,36090,24312,27318,21666,13980,26334,19440,33084,28170,14466,10866,19728,19338,25392
2021-11-01T05:40,7803,8673,10155,14724,12750,6981,8652,5355,9990,12201,12555,11481,15498,7803,10290,13560,11178,13248,7935,9375,9030,14658,15438,15435,9153,6828,4671,6228,12543,12237
2021-11-01T05:45,16395,13965,18645,22060,18735,22065,8300,13965,16685,15715,27510,21545,23065,23995,17420,25570,40030,25655,16485,23245,10410,20860,26985,19495,17480,8500,13100,17000,22920,20825
2021-11-01T05:50,21618,20556,35271,49914,42921,31572,23805,27909,38970,29457,46827,31140,49446,29151,29682,40239,63108,41877,35667,16902,17172,41490,40014,54612,39699,37089,19161,20484,40176,35253
2021-11-01T05:55,3103,2121,2864,3720,3048,3010,2242,2254,2692,3064,3635,3767,5598,3723,2697,4423,5449,3958,3169,2842,3661,2867,5569,4686,2806,2199,2301,3562,3564,4182
2021-11-01T06:00,3074,1141,3771,5029,5499,3555,2142,2156,3579,3779,5321,4022,3980,2378,2770,4506,4800,4573,3482,3288,2243,4422,3394,6228,3939,2238,2558,3928,4713,3111
2021-11-01T06:05,1993,2765,3847,5877,3764,5016,2954,1994,4077,2990,5095,3609,4443,2785,4218,3801,4703,5025,3014,4055,4300,3000,5158,5419,4035,3660,2621,3785,2849,3995
2021-11-01T06:10,20912,12760,28784,43656,28792,29552,17224,14168,30520,26856,35696,18696,32440,19624,28544,37080,46144,43136,26944,32056,28192,36488,33160,41176,20704,21728,9944,37376,23232,18088
2021-11-01T06:15,21930,21950,41070,47330,50970,43440,22880,28930,48180,12290,30990,45230,35880,33120,45050,51880,52840,52100,32630,30630,43110,32030,41400,57080,25780,21870,22710,22770,30280,29270
2021-11-01T06:20,5367,6225,8229,18015,10602,13584,8427,4812,12420,10308,11853,18048,11280,9678,9918,10257,16710,14133,12132,9135,10230,12099,11142,11562,11385,10740,6780,13446,9087,10923
2021-11-01T06:25,5274,9291,10215,11373,12240,13476,7524,9351,11679,10944,0,10455,13956,8691,5829,12060,12912,12870,7065,10656,12267,15576,17880,12498,8991,9450,6807,11886,9078,11463
2021-11-01T06:30,12740,8160,11108,22308,14052,12516,9120,10108,12540,14984,16140,16232,15996,13800,15588,13544,20324,15236,20604,17524,10156,14624,16580,28160,10872,9368,7136,14928,14860,9812
2021-11-01T06:35,21904,20312,20744,39968,29872,30872,15480,25904,32368,27312,35720,26872,29784,30040,28984,49672,36504,28264,24056,29392,25056,29416,43272,49224,30280,15232,17464,28760,26008,27304
2021-11-01T06:40,20862,16200,24678,55548,44388,42228,24660,22680,39456,24957,33651,31428,36972,29781,22509,44550,47088,34659,30636,40563,0,36738,39978,45639,19872,32085,23562,28971,40302,32472
2021-11-01T06:45,20826,19791,30654,39132,43641,29286,14427,34344,34074,23139,47214,40491,36585,30591,22185,46611,47682,35487,28044,31419,16101,45909,39096,48348,36900,24093,27828,23589,37296,37305
2021-11-01T06:50,5075,10250,14705,26325,20330,15205,17990,17430,17995,15425,18860,24625,18655,17225,13050,14725,23465,29190,23420,17120,14065,17840,21020,19005,16240,13325,12765,13945,13640,16830
2021-11-01T06:55,34170,25150,40560,54250,42950,36950,18840,23810,31880,40920,30760,46870,55010,17950,30200,50370,48110,50050,35940,36240,35010,27140,36640,49960,39230,23040,18570,38200,47500,30800
2021-11-01T07:00,18520,6895,19090,29570,20630,28860,10630,16990,19615,8815,20570,17190,20210,21290,15960,22380,22305,21790,19265,17420,14385,18360,26890,29240,17005,15455,15645,15960,23835,18250
2021-11-01T07:05,18360,25840,24440,29400,40168,33192,16624,22952,26616,34256,33144,27328,32264,30432,30136,28328,42856,31120,39656,19600,30568,39512,38032,54312,26608,26600,16128,20288,34920,17384
2021-11-01T07:10,5540,5038,5082,7996,8460,7560,5388,6198,6664,7302,8676,8054,8784,6984,4738,10342,11472,9544,10446,6498,5534,9784,8986,9940,10356,5596,5040,7552,8120,6010
2021-11-01T07:15,26406,24183,29466,45684,32535,44388,20079,22590,26379,36540,42759,37242,24201,30897,25137,42192,55818,41355,31266,38079,23175,44829,39195,42849,33021,23292,21609,20169,27837,27603
2021-11-01T07:20,28782,24165,28737,44127,37134,39303,11880,30060,34299,24309,46989,29799,23805,31509,19143,40014,51300,47367,23787,18135,28467,48195,47934,37224,20889,39393,8379,16848,23238,18513
2021-11-01T07:25,36530,27490,21800,64920,30110,46960,16750,35670,45210,36450,38590,37860,30030,41340,34090,36650,51260,41690,28910,31910,33260,53440,47390,68470,34680,32770,15940,33480,31620,34920
2021-11-01T07:30,4554,4404,6954,7462,8914,9826,5198,5472,8432,5868,9234,7236,10586,6154,3866,10036,13112,7636,8524,6516,5932,9508,8356,7972,6694,5230,3570,7482,5836,4940
2021-11-01T07:35,3429,2803,3078,4533,3620,4754,2296,3034,4124,3728,4836,4428,5037,3445,3374,4647,5127,4076,4227,3542,3776,4356,4417,5615,2800,3011,1941,4476,3076,3561
2021-11-01T07:40,9545,10580,17035,22270,21750,24730,12320,18745,22070,17485,25590,22855,22550,18345,9785,18705,24960,23535,23535,22350,16815,26805,14775,32305,14570,16885,12760,18720,21715,19280
2021-11-01T07:45,2376,2038,3809,6094,3136,4297,1983,3107,2731,3539,3216,2766,5102,2482,2119,5298,4355,5538,3193,2775,3550,4625,4048,5591,2315,2655,3012,3906,2895,4380
2021-11-01T07:50,12420,13850,13135,0,23280,14460,12005,16720,21070,16025,15745,14435,18510,20565,16415,21610,36685,29530,24675,21630,19045,11250,17715,24760,21000,13425,4490,13600,23240,16620
2021-11-01T07:55,11956,8188,11808,16196,15324,17536,9684,12200,10560,14008,14860,16044,22556,12856,10384,15244,20784,19372,14612,11808,7192,18700,19908,19352,14808,9836,8120,12444,17616,14856
2021-11-01T08:00,4960,3062,7532,12028,6520,8402,4714,4592,7218,7310,5896,5770,9458,4358,6450,9348,9906,7400,6932,7574,6316,8710,8242,11868,6890,5452,3374,5404,4910,5152
2021-11-01T08:05,3229,1743,1798,5476,4602,2860,2602,2628,4301,3505,3916,3962,3651,3552,3625,4398,5291,4770,2867,3521,0,5233,5268,4920,3259,3512,2975,2801,3266,3003
2021-11-01T08:10,23823,14130,33435,52317,44919,28368,17820,28935,30492,29070,30483,23616,49131,33588,29169,39195,44667,29475,40401,32274,29736,43056,31509,50436,37413,33282,14562,35712,28890,36621
2021-11-01T08:15,26775,19944,28476,54513,46044,45981,16695,28440,34938,21717,47997,33003,36405,38322,21564,39096,59400,41220,27009,34740,31581,55620,37026,41805,32256,28782,12231,29736,41868,44037
2021-11-01T08:20,3298,0,3448,5477,3538,4379,1566,2496,3493,4402,5332,4592,2913,2884,0,6168,5769,3112,3638,2955,3678,4756,5840,7251,3657,2775,2945,3815,3644,3733
2021-11-01T08:25,1655,2050,3638,5945,4644,3467,2234,1783,3130,2965,4522,3617,5488,2311,3533,5057,3817,5234,3154,4192,3841,4173,3762,6153,3151,2605,2507,3513,3415,2842
2021-11-01T08:30,3716,1112,2663,4640,4792,5069,2792,2794,3850,3889,3623,4074,5144,3279,4017,3726,5333,4578,2328,3319,3712,5846,4661,5766,2984,2643,1292,2918,3802,3971
2021-11-01T08:35,6970,5348,3494,8970,9136,6508,4120,4648,6872,5578,8880,8368,6682,6374,5154,7000,8340,9348,5502,5764,7426,11332,9970,8132,7162,6234,2462,3888,6588,6834
2021-11-01T08:40,26872,20152,36056,36080,32536,34160,16944,18104,35368,19808,37888,32008,27952,25320,29648,35032,47632,39000,37864,25936,16808,40816,41728,30376,31632,22728,10768,24336,24816,26280
2021-11-01T08:45,24723,23391,31554,50148,44577,31968,15624,20997,34668,33759,42822,36378,49608,27900,24966,36243,46683,43263,27864,34470,30996,36351,41580,34515,39294,33066,19809,29736,35694,35289
2021-11-01T08:50,5396,4026,7540,9680,7308,8702,5756,7344,8540,6822,11392,7700,6942,5312,7590,8696,9134,9020,7782,7950,7492,10122,9872,11202,4318,4618,3382,7098,5422,6008
2021-11-01T08:55,2582,2009,3533,5599,3045,3373,1990,2430,4129,3399,4525,4107,3537,1547,3085,2862,5429,4523,4062,3936,3916,5043,3863,4374,3840,3342,2225,2738,4370,3674
2021-11-01T09:00,2168,3211,2550,5646,3371,4713,1838,2233,2956,2359,4963,3880,3417,2907,3810,4846,5764,4378,4067,3287,3448,4827,3907,5687,4115,2971,2203,3205,4038,3941
2021-11-01T09:05,5760,5454,5522,12258,6526,7924,4048,4672,6418,7294,9414,6638,9620,4560,7498,11802,12196,6514,7722,8280,4386,7834,10976,8386,6184,4258,4526,5964,6482,7078
2021-11-01T09:10,3025,3244,2316,5109,5428,3794,2687,3150,3925,4586,4850,3819,4624,3081,3317,5595,6818,4274,2894,3446,2813,4310,3643,5940,3672,3857,1337,2450,4460,2923
2021-11-01T09:15,16938,22365,31959,36810,39735,33336,19152,27837,24786,34668,40005,28647,48582,24651,37611,42885,45891,41850,30825,42759,37647,52650,44388,64116,15570,24543,11196,13347,32967,39240
2021-11-01T09:20,5414,5656,6508,13670,8674,5518,6422,4370,7240,7518,11822,7340,9982,6662,7406,10466,9228,10650,6624,9056,5720,10052,8716,10800,8760,7062,6368,8202,7182,7284
2021-11-01T09:25,2566,3015,3714,5141,3999,4301,2300,1817,4036,3766,4878,3521,4837,3591,2747,4132,4624,5944,2715,4079,3646,5504,4898,3039,3955,2505,2179,2922,2816,4165
2021-11-01T09:30,2255,2376,3404,6165,4217,4473,1999,2792,5088,3236,5307,4043,5248,2750,2916,4748,6394,4456,3236,4913,4276,5098,5036,5687,2581,3852,2925,3396,3922,3816
2021-11-01T09:35,21528,18243,29259,44388,39276,41220,19764,21555,37449,27153,40149,49959,39438,35514,37953,43335,37287,51390,0,24732,28116,40950,40014,42849,39888,29529,20772,31365,28521,29295
2021-11-01T09:40,19602,20349,24003,46359,42561,38565,22806,17820,35325,23562,34677,32436,38241,20853,35370,44901,51336,41508,30186,30888,29943,35532,41319,43965,27378,17694,14931,41562,26532,42687
2021-11-01T09:45,18858,17166,20094,28518,24936,25872,14580,19926,21216,16248,26478,22608,23952,20490,18678,28542,29754,24096,22806,19500,23460,28122,31470,28416,27954,17778,8100,20892,15870,20910
2021-11-01T09:50,20304,16832,31576,35064,37128,36560,20512,28584,21704,26344,24456,33912,39224,26392,14784,19488,33920,35104,22280,30472,15944,34832,34648,45304,22640,16336,15168,20104,21296,27864
2021-11-01T09:55,4530,5720,6804,9744,6258,7406,5594,6406,6392,6352,8264,8708,6692,6618,5526,8004,13870,6842,8712,8418,3786,11762,5878,11600,7212,3858,3282,6968,6646,6944
2021-11-01T10:00,20439,20421,25200,38349,40635,43488,17397,20367,25227,29493,40752,36621,33417,29439,12195,27657,39717,36981,20826,35019,25317,40230,45270,50130,40545,34353,16317,23112,35874,36819
2021-11-01T10:05,2780,2261,3525,5594,4631,3559,2544,3007,4617,3628,4414,4032,3044,3322,2520,5297,5299,4344,3376,4283,1871,4401,4473,5405,2569,3308,2117,2303,3672,3996
2021-11-01T10:10,5418,5805,8778,15042,11043,16827,8040,7617,10842,10344,11808,7431,17181,9372,10338,12636,17853,10089,9558,11559,8259,14499,14256,14409,13539,9087,5859,13632,8562,8460
2021-11-01T10:15,16736,12312,22152,58160,37616,37384,12280,23728,33384,23984,32208,25464,32104,17168,29736,34920,43792,33280,33536,23672,18152,42888,34192,47016,33160,16456,14920,25960,25528,22240
2021-11-01T10:20,8955,11375,13205,32845,18510,23615,10715,10970,23145,16145,18055,24475,18940,14630,0,19155,25970,24215,24895,16425,16400,26750,0,22940,24365,16020,10670,15290,24300,17145
2021-11-01T10:25,18280,21140,22710,52280,48890,52990,26900,12530,33280,37140,38220,29510,35910,20560,28390,52620,61410,39710,31300,46220,33520,47210,41130,58390,39520,25960,25400,27060,33470,37760
2021-11-01T10:30,13698,19626,10752,36666,29760,24036,16524,13152,21402,22668,25956,16266,19596,18690,19932,19476,26772,27114,21276,22902,23568,28098,26496,25464,21528,12936,14658,20850,32496,18840
2021-11-01T10:35,6260,7384,15648,24928,19772,20128,7868,13344,14084,14444,19612,14280,15992,16372,19184,14328,22992,16532,11488,10576,17408,20000,18996,20984,9072,11920,9880,14300,17320,13232
2021-11-01T10:40,3069,3113,2695,3922,4725,4272,2183,2963,3100,3447,4687,5059,4119,4181,4395,3774,4245,3373,2939,2748,2877,4078,4238,6658,4793,2620,2092,3216,3607,4621
2021-11-01T10:45,20391,26880,20391,31801,33306,25424,14819,17290,35483,25102,35770,25746,31899,13636,26733,37576,38430,35427,25291,22225,18452,33229,40348,29029,29197,13391,15841,14875,33096,34433
2021-11-01T10:50,8427,5127,11790,16494,13776,9810,4614,8922,7206,15117,12921,10776,13584,9096,4902,15516,17820,12345,8727,11598,10896,13005,13953,15384,11295,7977,4275,11814,10503,11616
2021-11-01T10:55,25540,26760,42530,52430,47990,36470,17850,23040,29650,0,36270,42600,35390,31260,27730,53860,59200,36770,30000,30670,46740,45970,39120,50020,0,19600,19240,24570,26720,42610
2021-11-01T11:00,31149,9720,34857,28593,46584,39168,28422,27729,29079,19386,35352,42597,33669,35874,37989,40941,37008,38304,41931,24759,26145,40977,44388,39258,35406,28638,18162,30636,24048,28494
2021-11-01T11:05,26208,24201,34038,61857,46476,25425,27855,26289,35415,21780,39384,29457,27981,29889,34596,36045,39537,46431,28080,43137,20691,36756,55251,39924,23544,14481,22275,21042,31680,30177
2021-11-01T11:10,21978,16929,22536,60777,40590,27558,26631,27954,31131,25371,36558,53451,43524,28431,25074,29979,28575,49419,31887,36369,26091,32436,44784,38970,28512,24705,17163,23508,36792,47817
2021-11-01T11:15,17154,10701,25515,48150,37080,42120,24570,26829,27108,24156,43542,37575,40986,21312,35568,60003,47709,36585,21789,28782,35712,38376,49104,41238,21681,30528,16119,23931,33966,39087
2021-11-01T11:20,5336,5616,5900,12756,10668,9506,4690,6134,7926,5044,9716,8386,8512,8670,4914,8908,14382,9034,6298,10364,7540,7502,10314,10812,7436,6320,4604,7596,8296,5570
