mtime,AO,BQ,BU,C,CR,DO,DU,HW,IL,LP,LQ,NR,QS,SZ,WX
2021-11-01T03:35,6576986,9591606,7262732,8174562,9391725,9426322,7632588,8238467,9389834,7852295,8249433,8745941,7044745,9415511,9784489
2021-11-01T03:40,6804815,9027788,7609837,6495155,7753415,7727471,7348910,6588282,7081587,7009416,9051138,9889716,9166235,8527527,6900271
2021-11-01T03:45,8222619,7739273,7181554,9035967,8051030,9689893,6994613,7842502,9292783,8789820,7685130,8364620,8990542,8131706,6059056
2021-11-01T03:50,8190162,7519154,8919032,7891893,6021208,7898528,8626954,6958331,9657907,9005395,7110707,6924313,7083934,9247085,7563610
2021-11-01T03:55,8282521,7173977,6783490,8593183,7926028,8605624,8912148,7648492,7897499,8981677,8188056,6858356,8251856,10082963,8327849
2021-11-01T04:00,6330046,7913589,7749441,7648546,7963654,11732970,10696916,8132693,7713398,7116277,8903404,6914832,7082483,7583365,7485348
2021-11-01T04:05,5246330,8574956,7929579,7303409,7451575,7510859,9130473,10336353,8604194,7177572,6932403,7516219,7935766,6797509,8214029
2021-11-01T04:10,8741958,10120885,9515159,8200671,6689838,10814414,9489090,7945965,9635970,7765911,8666982,8117785,10379566,6891242,5645143
2021-11-01T04:15,8861145,8251588,5822686,8541939,8222015,8030647,7917619,8572180,6821172,8999749,7604183,7933023,8067673,9948377,6954113
2021-11-01T04:20,7586743,9765135,8711117,7988712,7075487,8749599,10629145,8122897,6662858,7476598,7021380,9145852,8277233,6062089,8103214
2021-11-01T04:25,9719948,5226305,6832618,8372946,7154881,7588460,7628506,10670534,9498266,7672873,8065565,8191087,8751963,6804867,7883812
2021-11-01T04:30,8427212,8951839,8164304,8120799,8280344,6573574,9176670,6672914,5470642,7852715,6849411,8771004,8837115,9320918,10595388
2021-11-01T04:35,7772732,7491818,8273027,8657869,8891739,10398042,8025771,7741786,8255341,8883894,9258611,9370300,8259690,7366485,6569810
2021-11-01T04:40,9606895,6261198,8970843,7364447,8371529,8904227,6720507,9753243,7894665,7775581,7604225,6788503,8726329,6492446,6180660
2021-11-01T04:45,7792384,7024138,6201191,11222539,8224518,7384551,8380083,7203799,8074651,6919425,8636503,8633742,9455111,6889854,7971341
2021-11-01T04:50,7767095,8211123,7650124,7301464,9237643,8320641,7711349,6578473,8987170,8197884,8720386,7689009,5979108,6070528,6735096
2021-11-01T04:55,8464030,6276000,9269126,7358905,7580651,8354687,8120027,9001171,9097785,8260680,8767483,7698961,7054326,6470662,7554106
2021-11-01T05:00,8630792,8244934,9488579,8309199,10292412,9162308,8619013,10282007,8346348,10045017,9223185,8178529,9123387,9600339,7853546
2021-11-01T05:05,9183566,7400950,7620285,7694125,8912791,9688438,7090036,6762212,7951157,7184576,8381300,8697270,9706097,9007026,7876474
2021-11-01T05:10,7679344,9040384,9088652,7523837,6552304,7805670,8661378,8357127,6882719,10646740,11728906,7890653,6406990,8825422,9087157
2021-11-01T05:15,7542061,8769081,10301884,8373137,7618582,8580665,7145261,8387975,6988420,8475626,10328183,9362042,6904498,8789484,8620797
2021-11-01T05:20,7403297,9015278,8809747,6426352,8930757,7951175,9804326,8459048,9734970,8237933,10156400,7288172,7936226,7533114,9177376
2021-11-01T05:25,8686983,6915119,8996260,9925512,8386982,8722536,9642613,7508165,8963321,6914971,7490035,8349093,9957753,7837694,7719207
2021-11-01T05:30,8261722,7671668,7668263,7810897,7803506,8445085,9181731,7254101,7321345,8072064,8674633,10122317,7810960,6110417,11095916
2021-11-01T05:35,8741209,7322648,6976568,9796434,8152523,6757749,9318203,6214394,8743897,7205085,7265489,5014265,8711600,8518467,7597519
2021-11-01T05:40,9373039,6084983,9808504,10047440,7126267,8120294,7765703,8356901,9717240,6511596,7694715,8300480,8229216,6718282,7816779
2021-11-01T05:45,8261923,8092010,7448115,7745376,7293528,7843196,8990501,9606540,10461387,9222147,10072372,8131841,6882695,7624081,7233216
2021-11-01T05:50,6719688,8227279,10520407,9592422,8675490,8933199,9883347,10155623,8404837,6426631,9837773,6618988,7720334,6542943,7249470
2021-11-01T05:55,10141884,9388246,8149038,9679604,7353229,6337650,9613148,8761277,7797487,7927745,8489539,8964658,8821647,8735528,6995713
2021-11-01T06:00,7212775,11516524,8424609,8148983,8470642,7955292,7842516,8638762,7834427,8163910,7457988,6965615,5052438,9544250,8396063
2021-11-01T06:05,8416838,8646381,7545416,7360703,6651617,8911970,5378715,8808801,8259219,7062943,10073988,6657628,8848550,9787569,8696812
2021-11-01T06:10,8231609,9043528,8026539,8989845,11026287,7421797,9446318,9125217,6517267,8859610,7780578,8889205,9049462,7437669,7362259
2021-11-01T06:15,8040015,8009316,9379215,6723696,9196228,10772509,6933165,9762934,8106400,7444376,9440556,9231753,8146572,6980878,7454767
2021-11-01T06:20,6548303,8570006,6435330,8468028,8676426,8096574,8888538,9270213,9394988,8348835,8240456,8891049,7363386,10234751,7751103
2021-11-01T06:25,7774385,8819263,7782527,9878758,8154689,6957294,9796480,8303300,10368872,6988252,7122960,9277020,9364925,7650124,8414910
2021-11-01T06:30,7936024,7428063,9259982,5918618,8425775,5975257,7306566,8915827,6900462,7952613,7554402,7683182,8991055,7831096,9079745
2021-11-01T06:35,9258436,7122631,6655498,8541309,10474288,8343795,7010023,9965772,7769525,7884228,7941976,9196723,9104754,8230992,7321813
2021-11-01T06:40,8899571,9138321,7740011,7202553,8344457,8565772,7830598,6864520,7284662,7653280,9736738,7547343,7011677,5918698,8435133
2021-11-01T06:45,7317597,9562333,7432380,9180525,8697702,7950882,9009648,8819233,9676110,7756047,7977816,8264758,7213858,9177937,9385689
2021-11-01T06:50,7805776,7846493,7293011,7230516,9004755,8283059,8481658,7524119,8421647,7920357,8535016,7666392,8318844,9102151,8073225
2021-11-01T06:55,8843856,7494115,7071107,7321551,9400946,7772501,10515876,7563434,8697420,9692488,8715844,9398917,9198107,7278517,8244547
2021-11-01T07:00,8653325,7721233,8496229,7529938,8244813,8433515,7239320,8315256,6662012,7222182,7503534,7238583,10695906,8591723,7365156
2021-11-01T07:05,6592881,7289353,8356061,9501270,8988186,8532182,6964655,8114206,8386928,8427277,9442858,7168721,9402154,9306622,6322936
2021-11-01T07:10,5533751,8512745,7620659,7101132,7405854,8304738,6595844,9175578,7811910,7108573,7462779,8069444,8656026,8479645,5865530
2021-11-01T07:15,10359574,9195911,7550425,8469007,7864391,9305556,6339083,6913986,7557510,10183306,7978497,9282606,9566202,8583930,7731034
2021-11-01T07:20,7742881,8310638,8967595,5839448,8477702,6886975,9296212,6844326,7261893,8949708,6606843,8466213,6169021,6789715,7186027
2021-11-01T07:25,8364671,9601499,8563970,8535996,8484183,8999687,8782417,8739211,6840599,8554531,9196852,6880026,8640260,9820201,7526470
2021-11-01T07:30,8582328,7805606,8749532,5370485,8340451,7255563,10192516,7736159,9686184,8382894,6632825,7016476,8799655,7712833,8163718
2021-11-01T07:35,8348858,7704748,7676564,7000927,8102151,5344555,8390807,7855150,9538071,8632746,7098706,8681451,9047755,7245270,7717867
2021-11-01T07:40,8662590,7997964,8839745,9133358,7417190,9174147,7432066,7960145,11514280,7702040,8784242,8117372,8380361,9168762,6458618
2021-11-01T07:45,6507565,5965626,8325714,7856605,8216122,7328329,10105430,7931404,8665471,7445609,7434137,9670964,7294942,7548399,8966509
2021-11-01T07:50,7685395,11159989,10606442,6902637,8311264,10041509,8804915,7776228,7181184,8316554,8739128,7127544,7165671,8311134,7603744
2021-11-01T07:55,9842691,8651251,8891173,10335421,7113241,8108337,10892510,8387261,8221437,9518046,8532331,10564185,6877039,7517069,8370805
2021-11-01T08:00,11110565,8292927,8381300,6823132,8085862,7459216,7729776,10275561,8226817,8290019,8288466,10420249,9702799,8145065,8931712
2021-11-01T08:05,8806498,7516045,9644065,5634170,7222595,6558008,9200275,9897053,8213076,8585756,9751220,7223118,8128796,10108906,10354029
2021-11-01T08:10,6817624,7581055,6633563,8488987,6738291,8285625,7877109,7176694,7410114,6880777,5832708,9260253,7563887,8130061,10597309
2021-11-01T08:15,8666677,6479379,10339194,7804654,8173572,7031331,7469560,7090044,8093244,6848652,5833020,8767383,9795399,7895914,8757904
2021-11-01T08:20,7683937,8127172,9381132,10272675,6681750,6695108,7617273,8383123,8693448,9766677,7123976,7801291,6821457,5562155,8575975
2021-11-01T08:25,9065052,8309003,7688742,9334061,8185889,6370728,8742176,8255834,8855563,10061471,8407574,8819646,7122907,8655643,8105957
2021-11-01T08:30,6641548,9089351,9183316,7200609,6705941,7497429,7858953,6573990,6453217,8579653,7998249,6980677,9757335,7829715,6761458
2021-11-01T08:35,6631744,7688601,8689013,7553157,8265818,9505493,7724876,8814071,6175027,9787735,10060456,9255358,7883409,9510126,8154955
2021-11-01T08:40,7923872,8958635,8767564,9104058,8382874,7942965,9552640,9410782,6962245,6043414,6154135,10544367,8877411,6843735,8027473
2021-11-01T08:45,9832160,7886259,8828998,8562616,7634951,8364130,8888947,8601785,7097316,10723305,8324617,9702598,8639758,9428953,7476324
2021-11-01T08:50,8002301,8409437,8841881,6340743,7538409,9945947,8388511,9432448,7812290,8860316,8182201,8208292,7091912,8001264,8978673
2021-11-01T08:55,9271753,8638579,8354302,8250137,7697495,10807147,9121623,7657115,10061508,6369800,8343243,8094296,7412427,7901382,10522971
2021-11-01T09:00,7192481,5909662,6478106,9477332,7611528,7323683,6963891,6536086,8001923,6910815,9092375,10383638,8865382,9210534,7089700
2021-11-01T09:05,8640315,8071124,8600705,8986102,6238005,8964337,7078211,9131142,8152596,8760579,8034305,9014519,7087219,7293256,7666197
2021-11-01T09:10,8483969,7660061,8341632,9543161,7115828,9366426,8614708,9643757,8725634,7558917,6722433,7638993,9147568,7960039,7772757
2021-11-01T09:15,8542316,7669893,7804177,6340617,6863372,8189505,7014071,8923575,9910745,7947492,10571463,9167873,9665782,7654256,8492010
2021-11-01T09:20,9513235,6694332,8102903,8124763,9449462,8606421,5279822,7965357,9081578,8276681,6542694,9411363,7386653,8223103,7545262
2021-11-01T09:25,8928243,5065277,8684827,8871935,8605034,7616219,10744156,6744073,9869924,9421831,10502404,7541733,7885757,8109184,7898999
2021-11-01T09:30,8286251,6467005,8115515,7222598,7082271,9850240,9627132,8269579,8900390,8117943,8660676,7179103,7058042,9664435,9452904
2021-11-01T09:35,8272906,8614556,8922570,7011766,8840575,8462005,7828641,9675164,9159838,11817673,8735433,9167601,8807063,9701444,7170348
2021-11-01T09:40,7823264,8307897,6648851,7719946,7074601,6883405,9827756,7772889,8902829,9861190,7351253,8601467,10583993,8953354,10637010
2021-11-01T09:45,9203999,6400593,8703237,8100237,7105952,6601701,8790690,9290475,9345021,9368847,6842930,8358356,7038218,8087851,11177053
2021-11-01T09:50,9530611,5202349,7226942,6771365,8057525,9410876,10083090,6548332,9579577,8582272,9000503,9155910,8167224,6606132,8394029
2021-11-01T09:55,8345233,8355134,7005704,8562697,7598991,6417603,8167101,9624849,8868968,7282078,8555252,7165625,7196784,7299912,7607030
2021-11-01T10:00,9752975,8446082,8022792,8051048,9167914,9725107,7291628,6001421,6366696,9974183,9183076,8398760,8652162,7856364,9820197
2021-11-01T10:05,8042302,8181534,6500816,8770462,7433789,7620330,8162242,8062765,9142385,6223349,7623162,8586511,8320511,7576022,7664965
2021-11-01T10:10,9209636,7833109,8373599,8333730,8646238,8342497,7960723,8257540,9155776,7447175,5872920,9133501,7839902,8607814,9573356
2021-11-01T10:15,7745278,7953544,10766858,9997311,7842757,7799763,7922263,6347635,9596105,6750251,10576613,8612339,7576936,9372451,6448615
2021-11-01T10:20,9814795,9398576,9617488,7988085,7604718,7147893,8710910,9431334,7168378,10904852,7670838,6373607,7074377,8278964,6909362
2021-11-01T10:25,6791632,10000178,8127893,8815426,6096508,9315901,7971902,8213459,8362093,7439290,8895613,6963132,9257879,9005474,8668356
2021-11-01T10:30,8114744,10953362,7580878,7960356,9168251,7493182,7994808,8846328,9068984,8511888,7948099,9365528,7844333,6801267,7808460
2021-11-01T10:35,8254037,9435931,7036010,8757782,6065619,9435689,10770718,7817383,7386912,8329393,5389003,8615004,9072026,6351987,8671845
2021-11-01T10:40,8042154,8084287,8596771,8180457,6674599,7925290,8636577,6732603,8914452,7914994,7937291,6855993,8219725,8374962,7489325
2021-11-01T10:45,8596974,8392676,7371704,7633955,7798193,7144293,6496102,6749949,7491765,6951719,8616067,7925056,5856073,9532521,8246284
2021-11-01T10:50,8002007,9258019,9360507,9199463,7864073,7588767,9636105,7178606,9695582,8763919,9307595,8123199,8384534,7207895,7653062
2021-11-01T10:55,8233615,8417545,5785241,8525120,7168035,9635374,9198123,10716515,7608433,8351952,8743266,8095847,8990107,8184686,8936883
2021-11-01T11:00,9497473,10254027,6560841,9051211,6607218,8463368,9481741,7886145,7190195,7036233,7144951,8472215,7432685,8087037,10243887
2021-11-01T11:05,8854269,8996494,9438083,5378020,9175038,7925942,8967037,9938798,9034939,7009731,10010665,9002236,6639868,7473448,8406729
2021-11-01T11:10,9086899,7264115,8557964,8757252,8938552,8339196,8095730,7369180,10181801,8659783,8869363,8546920,7971463,6813764,6626194
2021-11-01T11:15,8485995,9448871,7611347,8126315,8511827,7219124,7338939,9460348,8282325,9175723,7508351,8011046,7015703,6788569,7580073
2021-11-01T11:20,9485293,7393065,7524258,8526194,8881255,7440831,7373875,8756467,10069323,8210108,9756380,7103060,8266280,11454877,8350160
2021-11-01T11:25,10457245,9573303,8390391,7897114,6969593,6488743,8295374,8248411,7691722,8497380,7921929,10574623,7649000,8104613,9358686
2021-11-01T11:30,7626882,8127996,6978140,6978766,7904572,9343649,7276484,7923964,6960958,8869228,8083069,7708094,7813131,8720949,8155350
2021-11-01T11:35,9524573,10332470,9388290,8786646,6979463,8065438,8973851,8799487,9434318,8223948,9349587,8316095,9303016,8271813,8222937
2021-11-01T11:40,8421662,7442653,8360856,6922665,8580278,8959312,9948596,7550015,8323818,9352894,9726238,9908864,8650263,7650038,7687006
2021-11-01T11:45,8256145,8718456,9291540,8386762,10094706,8912351,8412943,5967177,8203462,8577804,7787135,5392528,8076171,9387582,6747806
2021-11-01T11:50,7690066,8349462,7399968,9547058,6635566,8212513,7746007,6634356,8993143,9010760,9615917,5882321,9036233,7616644,11141413
2021-11-01T11:55,8516290,7250225,7326945,8457637,8695362,8848925,9607028,8367486,8358049,7939984,6156977,8974583,8996263,7825316,8273038
2021-11-01T12:00,8901427,11483872,8297961,6104484,9045804,8724413,9257409,7425707,9534895,8057156,9077262,8775421,8342291,5942611,9503817
2021-11-01T12:05,8305716,8378874,8414939,9610804,8322088,9956830,9407097,6606276,8407234,7929077,9527884,8140233,9293852,8687624,6701544
2021-11-01T12:10,6574588,9406126,7670847,7237193,9586876,8983710,8294898,7932141,8058452,5658244,10292538,8496031,7742718,8320697,8563237
2021-11-01T12:15,7048670,8113797,8692499,8340173,6153398,7391640,7167289,8299079,7260181,9107989,8363657,7162334,7837642,8161641,8291283
2021-11-01T12:20,7855198,7856807,6268871,6647220,8478374,6628370,9392293,8830372,7870485,8352339,7550150,6947171,7141054,7138170,8105498
2021-11-01T12:25,9182804,10140556,7342488,8355100,7361014,6542366,5257614,7140497,8670735,9310599,7439379,7401092,6449393,7132997,6321314
2021-11-01T12:30,7439003,8799149,6608734,9243061,8169351,7268038,10629838,7944167,7756166,7701636,7623501,7636327,7462181,8574960,7565838
2021-11-01T12:35,7547339,8014084,8755821,8105645,7349050,6636349,8811625,8647913,9351119,8512454,8224028,6645446,9143184,8903536,7477915
2021-11-01T12:40,8054567,9301522,8279551,6391784,7513875,9109225,7145114,8407095,7480746,8712117,8951275,9777378,6710963,8777753,8772126
2021-11-01T12:45,7374971,8412330,8615352,8275315,8331924,7017392,7807551,7218317,9125202,7816089,6207829,6937250,8117889,9799884,9987695
2021-11-01T12:50,10161290,7927498,9563065,8609511,7229788,6264346,8602207,7778701,8362556,7172678,7257762,7738459,9375005,7998706,9319483
2021-11-01T12:55,8118168,8749064,8614999,8206773,7571605,8091313,7328598,8738189,8814433,8181934,7700796,7217949,10112485,7593344,7349059
2021-11-01T13:00,7767914,9106083,7625224,7114056,9008094,8700830,8949005,9558149,8228656,5583762,8104726,8727856,7685031,9140023,7455486
2021-11-01T13:05,8328956,8745077,8399836,9196570,10179490,9154457,8742734,6420320,7699561,6909267,9605813,9561855,7757458,9890195,7984317
2021-11-01T13:10,6812996,7791398,7361851,8147676,8674106,7686369,8941790,7832746,7965649,8912751,8261069,6897743,9038269,10179667,7442285
2021-11-01T13:15,7762342,8291036,7204548,10230953,7509150,7541959,8811722,8456187,6381323,6321128,7925195,7559879,9802963,7499146,7823312
2021-11-01T13:20,7332916,6195519,7407830,8264142,7265880,6914284,8528825,8573255,8965045,9654226,8937243,7274608,9032182,7777856,9100056
2021-11-01T13:25,7280025,7071128,7942179,8508118,11162761,8782525,10098333,9580764,9175501,7310085,10140644,7020408,9803008,6650598,8832731
2021-11-01T13:30,8104041,7905160,8024956,6662471,10737289,8583675,9173483,8859480,7130278,9819365,7718745,6430677,5294630,8414259,9847964
2021-11-01T13:35,6682565,7057085,9332251,6903007,8204434,7374621,7530040,8409396,7834436,8871532,6441954,9287318,5565962,8991586,7597047
2021-11-01T13:40,7741116,7279934,8889692,8167652,8784558,9192782,7366130,9047800,8348754,7088569,9370627,8399103,8803889,8102947,8248353
2021-11-01T13:45,9345917,8709306,7538438,7870743,8170412,7035696,8166293,8468633,9312327,7752492,7460685,6961544,6900693,7701142,8728210
2021-11-01T13:50,8076305,8457896,10602803,9295763,7758690,8590642,9444052,8746940,9577154,6767513,8763071,8924618,8188890,5813305,8963524
2021-11-01T13:55,7972351,7114576,6260040,8404819,8691286,7895522,10355582,7373809,7366570,8515402,8448757,10130929,6270870,8956898,8228517
2021-11-01T14:00,6567109,7649025,9600534,9625543,9201793,8195542,8710182,5927972,7642002,8283310,7835778,9080622,9577452,8961606,7121949
2021-11-01T14:05,7386437,8852373,10056144,7274637,8613797,7758302,8290810,8459762,6590794,5621483,8795097,6968596,6560608,7737532,8848323
2021-11-01T14:10,8203752,7398866,7386465,7179349,8090209,8114226,8620280,8795054,8712068,8063209,7478760,6846930,8983365,8573321,7318626
2021-11-01T14:15,8650645,6886679,7861891,8694892,7807830,10214497,6887072,7288144,6374433,9004504,6187241,7377129,8867798,7696771,8779248
2021-11-01T14:20,7863063,9583545,8940914,8728884,8413087,9596170,7879895,6883772,7214122,9274351,10016859,9232351,9030510,7706691,8759160
2021-11-01T14:25,7979639,8141175,9173483,8453952,7655946,8097160,8863637,9584503,6711573,9442037,9722770,7438082,8124048,7912473,8238715
2021-11-01T14:30,9123093,8174624,8410181,7966278,6835594,7350398,9787023,8159872,7910015,8379405,10179494,6173186,8583463,8467230,9048672
2021-11-01T14:35,8481072,10343162,8182636,7897576,9057882,6475782,8171360,8039238,7502233,9071710,9522502,7861621,8312016,7983157,8260424
2021-11-01T14:40,9334256,7423451,9521924,7510000,8723921,8011210,9189414,6080560,8653377,7740255,5886776,7601006,11932761,7697834,7296961
2021-11-01T14:45,9378346,7289472,8608102,6597500,9621629,7785299,8464602,6602461,7797939,7846108,8259932,8874949,7775246,6952227,9508930
2021-11-01T14:50,7848603,7840933,8620178,9167343,7734078,9168697,7625807,7579451,8883327,8156299,8822497,8214239,7745968,9002456,8387294
2021-11-01T14:55,9004374,8423360,7404603,8644245,9547170,8849767,7021567,8000195,7456551,8371791,7013714,8346106,7731893,9496014,8640201
2021-11-01T15:00,9211969,7654615,9082737,7438624,8902860,8117994,8401752,6948757,8990396,9382795,10517755,8611675,9094575,8249531,9895104
2021-11-01T15:05,8664630,9346316,6719772,7825874,10065686,8572061,7110011,9902503,7540777,9221892,8933200,8259358,6614345,8985456,10058532
2021-11-01T15:10,8361020,8020136,8741477,9205813,6689606,7961060,9082847,6386991,9518633,6594015,8348439,9837801,8271777,8684747,7688997
2021-11-01T15:15,9005472,9156454,7522792,8433221,8634278,8141675,7069310,9298689,8291514,8077373,6659312,7601217,8815418,8854188,7755587
2021-11-01T15:20,8076102,6987361,8554751,8335099,8209135,7799487,8094656,7933724,8018846,8267322,7414522,9466910,7511922,7571860,6953103
2021-11-01T15:25,9395668,7388747,8810780,7800736,8022548,7341896,8578631,7701612,7852311,8091429,6578663,8667535,7098291,8209296,8278120
2021-11-01T15:30,9101545,8336865,7235586,8727952,7899828,8891690,7119852,7459771,10192095,9026448,9186499,7293298,8951657,8250232,8148483
2021-11-01T15:35,7739383,5997210,8139854,6672715,8222348,8782854,7998061,8355958,5713773,8533622,8460720,7813168,6355845,6650547,9021415
2021-11-01T15:40,7943445,7889185,9115584,8831857,9248759,7254491,7829919,7279134,8787229,7473103,6872411,7551735,7294763,6206192,8344008
2021-11-01T15:45,6350969,7137921,7490325,9932760,5810919,7070418,8474184,8683260,6838286,8652294,8046604,8703363,8064405,9573595,8294507
2021-11-01T15:50,9176473,8407208,7757846,7900774,8425392,5686135,9383617,8527177,9565038,6916073,8803040,8390507,8143971,8257562,8972008
2021-11-01T15:55,7800845,6993052,9036590,10465896,8324760,8908032,7846926,6445342,9665536,7686240,8866179,8097536,8624823,7877485,9930087
2021-11-01T16:00,8417952,6572766,8047506,8479918,7579162,7822327,7141669,8953549,7877228,10114175,6820177,5802702,5970539,8754738,7398702
2021-11-01T16:05,8990321,9537754,8789689,5957350,7583186,6918372,6351697,8191054,7464343,6906445,6490065,8971144,8140034,9388428,6973721
2021-11-01T16:10,9426542,7899947,8649863,8670158,8334444,8047687,6753930,6996562,8106270,7965494,8888214,9953923,9509558,8478877,8163419
